epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.31239,1.15668,4.12715,1.31985,0,0,0,0,2.58306,4.91637,2.3327,0.091045,4.5e-05,4.5e-05
2,6.07635,1.09325,3.31639,1.22504,0,0,0,0,1.92214,4.2887,1.8523,0.0810934,9.34325e-05,9.34325e-05
3,8.78519,1.07665,2.99614,1.22701,0,0,0,0,1.29434,4.01165,1.4556,0.0711402,0.000140215,0.000140215
4,11.467,1.00339,2.50639,1.22603,0,0,0,0,0.91152,3.75862,1.20934,0.0611853,0.000185348,0.000185348
5,14.2029,1.03511,2.54597,1.21342,0,0,0,0,0.98244,3.49977,1.15235,0.0512288,0.00022883,0.00022883
6,16.8993,1.02829,2.30766,1.14065,0.5,0.03571,0.26785,0.24107,0.93355,3.16254,1.07673,0.0412707,0.000270662,0.000270662
7,19.6134,0.98949,2.32817,1.19678,0.5,0.03571,0.26785,0.24107,0.82931,2.96301,1.04281,0.0313108,0.000310845,0.000310845
8,22.2307,1.03714,2.16533,1.22631,1,0.18132,0.59064,0.45276,0.80087,2.60186,1.00977,0.0213494,0.000349377,0.000349377
9,24.889,1.02024,2.04556,1.21924,0.65,0.36264,0.52238,0.37875,0.88514,2.46563,1.02089,0.0113863,0.00038626,0.00038626
10,27.5096,0.97561,1.86789,1.16169,0.80159,0.47802,0.66196,0.49092,0.95706,2.32223,1.01955,0.00142149,0.000421493,0.000421493
11,30.1296,0.98622,1.88071,1.17264,0.72917,0.51923,0.62425,0.48004,0.87763,2.18604,0.99042,0.0004175,0.0004175,0.0004175
12,32.7278,0.86592,1.78372,1.10323,0.74047,0.63462,0.67009,0.50848,0.79176,2.05541,0.96396,0.00040925,0.00040925,0.00040925
13,35.3556,0.90739,1.92122,1.11798,0.63839,0.7033,0.69524,0.50928,0.78167,1.94064,0.96852,0.000401,0.000401,0.000401
14,38.0145,0.92552,1.83739,1.20179,0.61483,0.69505,0.67681,0.48822,0.78653,2.15563,0.98124,0.00039275,0.00039275,0.00039275
15,40.7148,0.97912,1.83908,1.15384,0.65461,0.8489,0.79186,0.52235,0.78713,1.9546,0.99338,0.0003845,0.0003845,0.0003845
16,43.4155,0.90636,1.7114,1.14241,0.79183,0.83513,0.84704,0.5911,0.78924,1.78932,1.00236,0.00037625,0.00037625,0.00037625
17,46.1228,0.93991,1.78231,1.1349,0.60625,0.92582,0.88062,0.63077,0.82233,1.90774,1.02186,0.000368,0.000368,0.000368
18,48.9309,0.80337,1.71608,1.04138,0.64286,0.89011,0.80197,0.58451,0.90397,1.89409,1.03612,0.00035975,0.00035975,0.00035975
19,51.8061,0.874,1.6662,1.10033,0.66807,0.92582,0.82015,0.59062,0.94695,1.80275,1.06592,0.0003515,0.0003515,0.0003515
20,54.5833,0.78721,1.49394,1.06878,0.73264,0.92308,0.8264,0.57771,1.002,1.7699,1.10543,0.00034325,0.00034325,0.00034325
21,57.1796,0.82956,1.44074,1.05425,0.73509,0.92308,0.85193,0.58542,1.07116,1.70063,1.14758,0.000335,0.000335,0.000335
22,59.9107,0.8181,1.48592,1.08498,0.93412,0.81319,0.87087,0.61894,1.00679,1.66228,1.09535,0.00032675,0.00032675,0.00032675
23,62.6427,0.85201,1.52152,1.10195,0.85812,0.81319,0.87512,0.63742,0.9739,1.68852,1.08014,0.0003185,0.0003185,0.0003185
24,65.3076,0.86241,1.52475,1.09774,0.65556,0.92582,0.83627,0.60414,0.93641,1.8143,1.06772,0.00031025,0.00031025,0.00031025
25,68.0222,0.79907,1.49918,1.07066,0.62997,0.8544,0.76054,0.56555,0.90164,1.97907,1.0461,0.000302,0.000302,0.000302
26,70.7849,0.77434,1.3852,1.03227,0.73557,0.86155,0.89557,0.67472,0.80583,1.68083,0.98885,0.00029375,0.00029375,0.00029375
27,73.7953,0.77789,1.36193,1.05446,0.90715,0.92308,0.92457,0.68128,0.76575,1.4883,0.9724,0.0002855,0.0002855,0.0002855
28,77.0576,0.73442,1.41888,1.03832,0.91553,0.86482,0.90954,0.68533,0.7444,1.47449,0.96413,0.00027725,0.00027725,0.00027725
29,79.9343,0.77168,1.40898,1.04244,0.85291,0.8567,0.88394,0.68787,0.75496,1.56812,0.96481,0.000269,0.000269,0.000269
30,82.7658,0.75348,1.42372,1.04704,0.85347,0.87957,0.8911,0.67392,0.8186,1.52352,0.97335,0.00026075,0.00026075,0.00026075
31,85.8719,0.72642,1.24321,0.98754,0.91844,0.83708,0.91564,0.68856,0.82935,1.51589,0.96898,0.0002525,0.0002525,0.0002525
32,88.8855,0.81626,1.48711,1.07574,0.89079,0.95303,0.94475,0.71407,0.80925,1.54779,0.96271,0.00024425,0.00024425,0.00024425
33,91.775,0.74365,1.29041,1.03941,0.86667,0.96154,0.93635,0.6973,0.77146,1.64499,0.95036,0.000236,0.000236,0.000236
34,94.4013,0.72117,1.26719,1.01404,0.81723,0.92582,0.8794,0.64826,0.76176,1.75608,0.94205,0.00022775,0.00022775,0.00022775
35,96.9887,0.74206,1.26127,1.03245,0.81448,0.89011,0.85993,0.64603,0.76283,1.78396,0.9342,0.0002195,0.0002195,0.0002195
36,99.6253,0.7196,1.30954,1.03833,0.84168,0.81868,0.83444,0.6457,0.76218,1.75537,0.93014,0.00021125,0.00021125,0.00021125
37,102.251,0.76245,1.30409,1.04558,0.87055,0.76772,0.83711,0.6582,0.76131,1.68872,0.92494,0.000203,0.000203,0.000203
38,105.037,0.7461,1.28135,1.02621,0.85344,0.8544,0.88124,0.69732,0.73317,1.48964,0.91176,0.00019475,0.00019475,0.00019475
39,107.868,0.73994,1.2572,1.0209,0.84437,0.96154,0.92641,0.72281,0.71026,1.35694,0.90508,0.0001865,0.0001865,0.0001865
40,110.613,0.71166,1.24745,1.00234,0.84915,0.96154,0.93778,0.73096,0.7076,1.3035,0.90642,0.00017825,0.00017825,0.00017825
41,113.222,0.73199,1.25474,1.06385,0.89411,0.93119,0.94662,0.73436,0.70803,1.27846,0.91032,0.00017,0.00017,0.00017
42,115.979,0.69586,1.19202,1.00889,0.88676,0.92152,0.95473,0.73813,0.72505,1.25994,0.92329,0.00016175,0.00016175,0.00016175
43,118.682,0.72659,1.25915,1.03319,0.91239,0.92124,0.95239,0.7454,0.75708,1.23965,0.93638,0.0001535,0.0001535,0.0001535
44,121.39,0.70545,1.20186,1.02803,0.91257,0.90155,0.95706,0.75089,0.76131,1.22725,0.94169,0.00014525,0.00014525,0.00014525
45,124.095,0.67946,1.17821,1.0008,0.94754,0.89011,0.95706,0.75628,0.74494,1.208,0.94781,0.000137,0.000137,0.000137
46,126.929,0.68393,1.25266,1.05568,0.93644,0.89011,0.95933,0.77514,0.71947,1.20618,0.94971,0.00012875,0.00012875,0.00012875
47,129.709,0.72635,1.27219,1.06417,0.91915,0.89474,0.96167,0.77856,0.70704,1.23545,0.94496,0.0001205,0.0001205,0.0001205
48,132.348,0.73257,1.27285,1.02701,0.90486,0.89624,0.96021,0.77351,0.70248,1.24043,0.94908,0.00011225,0.00011225,0.00011225
49,134.955,0.66609,1.12283,1.01443,0.89427,0.89679,0.95592,0.77184,0.7097,1.23962,0.95272,0.000104,0.000104,0.000104
50,137.546,0.71113,1.19864,1.01272,0.87598,0.89752,0.94916,0.76955,0.73206,1.27433,0.97436,9.575e-05,9.575e-05,9.575e-05
51,182.294,0.50126,1.09423,0.91263,0.83175,0.89721,0.94031,0.76043,0.7273,1.3083,0.97567,8.75e-05,8.75e-05,8.75e-05
52,186.491,0.48542,1.07923,0.89528,0.78261,1,0.94198,0.74467,0.72447,1.30465,0.97699,7.925e-05,7.925e-05,7.925e-05
53,189.539,0.50406,1.12915,0.92553,0.78261,1,0.94198,0.74696,0.7386,1.33261,0.98955,7.1e-05,7.1e-05,7.1e-05
54,192.406,0.52215,1.14309,0.94936,0.90594,0.84946,0.92481,0.73232,0.74888,1.2993,0.99089,6.275e-05,6.275e-05,6.275e-05
55,195.13,0.48359,0.96755,0.90692,0.90617,0.86764,0.92481,0.73848,0.75846,1.28922,0.98615,5.45e-05,5.45e-05,5.45e-05
